,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country
51,2,2,4,3,3,4,3,1,5,1,1,1,1,4,4,4,3,1,2,3,2,1,18,2,93,US
52,5,2,4,5,5,5,4,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,30,1,100,US
54,5,3,4,2,2,5,4,1,5,2,4,3,3,5,5,4,5,4,3,3,4,3,19,1,70,US
55,2,4,4,2,2,4,2,1,2,2,1,1,2,4,3,2,3,2,1,2,2,1,0,0,50,US
56,1,1,3,1,2,1,3,4,1,2,1,1,1,4,3,4,1,1,1,1,1,1,59,1,95,US
57,2,5,5,2,3,4,5,4,5,2,2,3,3,4,2,1,2,1,3,4,3,2,17,2,100,US
58,3,4,4,2,3,4,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,21,1,100,IN
60,4,4,4,5,2,4,4,4,5,1,3,4,3,4,4,4,2,4,2,4,4,3,16,2,90,GB
61,1,2,1,1,2,2,2,1,4,1,1,1,1,2,4,4,2,1,1,1,1,1,51,1,100,US
62,4,2,2,2,4,4,3,3,4,2,2,2,3,3,4,4,4,3,3,4,2,3,39,1,100,US
63,4,2,2,2,4,3,2,4,4,2,2,2,3,4,3,3,3,2,2,2,2,1,41,1,90,FI
64,3,2,3,5,5,4,4,4,5,4,4,3,3,3,3,3,3,1,2,4,4,3,22,1,80,US
65,2,2,2,4,3,3,3,1,1,4,4,4,3,4,4,3,4,1,3,5,4,1,51,2,100,US
66,4,2,4,2,2,4,4,5,3,2,2,1,4,5,3,3,2,2,2,2,2,2,44,2,80,US
67,5,5,5,3,5,5,4,5,5,5,5,5,2,5,4,4,2,3,5,5,5,5,22,2,100,US
68,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,21,1,96,US
69,5,4,4,3,4,5,4,4,4,3,4,3,5,4,3,4,3,2,1,4,4,2,31,1,80,US
70,3,3,3,3,4,4,3,4,5,4,4,4,4,4,4,2,2,3,4,4,2,3,27,1,50,CA
71,5,5,5,4,5,5,5,5,5,5,5,2,3,4,5,5,5,5,4,5,5,3,33,1,80,GB
72,3,4,5,3,4,4,5,4,4,2,4,4,5,4,4,4,4,4,4,5,4,4,29,1,90,AU
73,5,5,5,3,5,5,5,5,5,3,3,1,5,5,5,5,5,5,5,5,3,5,27,1,80,GB
74,4,3,2,3,2,4,5,4,5,2,2,2,5,5,5,4,3,3,3,5,1,2,36,1,90,NZ
75,4,4,4,1,1,5,4,1,4,2,1,1,3,5,4,4,1,1,1,2,1,1,24,2,85,US
76,4,2,2,4,2,3,2,2,4,2,2,2,3,3,4,1,3,4,2,4,2,2,19,2,70,US
77,2,2,2,1,1,2,3,1,2,1,1,1,1,2,4,2,1,1,2,4,2,1,31,2,75,US
78,5,3,2,2,4,5,4,4,5,4,5,2,5,4,4,3,4,3,5,4,4,3,27,2,85,US
80,4,5,5,2,4,5,5,3,5,1,1,2,2,5,5,4,5,4,4,4,5,1,20,2,90,US
81,5,4,4,3,4,5,2,5,5,4,5,5,5,5,5,4,5,4,4,5,5,4,30,2,95,US
82,5,5,5,2,2,5,5,2,5,2,4,2,3,5,5,1,1,2,4,4,4,3,19,1,90,US
83,2,5,2,2,3,4,4,3,3,2,1,2,2,4,5,4,4,3,4,4,4,2,22,1,94,US
84,5,3,2,4,1,5,4,2,4,1,4,2,4,5,2,2,2,3,2,4,4,2,20,1,85,US
85,4,5,3,4,3,5,5,4,5,2,1,2,2,3,5,5,5,4,3,5,5,2,0,0,75,US
86,4,4,5,1,2,4,4,1,1,1,3,2,3,3,4,3,2,2,4,4,3,2,0,2,80,US
87,3,2,4,5,1,5,4,2,4,1,4,3,3,4,5,5,5,3,4,5,3,4,17,1,95,AU
88,5,1,3,4,5,5,3,5,5,1,5,5,5,5,5,3,5,5,5,5,3,5,27,1,95,US
89,4,5,5,5,2,5,1,2,5,3,3,3,2,3,5,1,3,4,1,4,1,1,15,1,95,AU
90,4,3,4,2,3,4,3,4,3,2,4,3,4,4,2,1,2,2,3,4,2,3,24,1,100,US
93,5,4,4,2,3,5,4,4,5,3,1,5,4,5,1,1,2,2,3,5,3,1,29,1,85,US
94,4,3,2,3,4,4,3,4,4,4,3,5,3,4,4,4,3,3,4,4,4,3,40,2,70,AU
95,5,5,5,4,4,5,0,5,4,5,4,4,5,5,4,4,5,3,5,4,5,4,17,1,100,US
96,5,5,5,5,4,4,5,5,5,4,4,3,4,4,5,5,4,5,5,5,5,4,13,2,76,US
98,5,2,4,4,5,5,3,4,5,4,5,5,4,5,4,3,5,4,4,5,3,4,20,1,90,US
99,4,4,5,2,3,5,2,2,4,2,2,1,1,5,3,2,2,2,2,1,2,1,37,1,90,US
100,4,4,2,2,2,3,4,2,3,2,2,1,1,3,3,3,2,3,2,2,2,2,53,2,90,US
101,1,1,4,3,3,5,1,3,3,3,3,3,3,4,1,1,1,1,4,4,3,4,19,1,90,US
102,5,5,5,5,4,5,5,4,5,4,3,3,3,5,4,4,3,4,3,4,4,2,37,2,90,DE
103,5,2,4,5,5,4,3,4,5,4,4,5,4,5,5,4,4,4,4,4,4,4,20,1,95,US
104,2,1,2,2,4,3,3,3,2,4,4,2,4,5,2,1,3,1,2,4,2,1,21,1,90,US
106,4,2,4,2,4,4,3,4,2,2,2,1,4,4,4,3,3,2,2,4,2,2,23,2,95,US
107,5,5,5,5,5,5,5,5,5,3,4,1,4,5,5,5,5,3,4,4,3,1,18,2,70,US
108,2,2,3,1,2,3,4,2,4,1,1,1,2,3,4,3,2,4,2,4,2,2,19,2,83,US
109,4,3,4,5,4,3,4,2,4,4,2,1,3,3,0,3,4,4,2,4,2,3,15,1,90,US
110,2,4,3,2,3,3,4,2,4,2,1,2,2,3,4,3,2,2,4,4,4,2,24,2,100,US
111,5,4,4,4,4,5,4,4,4,4,5,5,5,4,2,2,3,3,5,5,5,3,13,2,85,US
113,4,1,1,5,5,5,3,4,3,5,3,5,4,5,2,2,3,3,4,5,4,2,37,2,100,US
114,4,2,3,1,4,4,3,2,4,3,4,3,3,4,2,4,2,4,3,4,4,1,49,2,60,US
115,5,5,5,3,3,2,4,5,3,2,1,3,2,5,5,3,5,1,3,5,5,3,48,1,100,US
116,5,5,4,4,5,5,4,4,5,4,3,3,2,4,4,5,2,3,4,5,4,2,28,2,85,US
117,5,5,5,1,2,4,5,5,5,1,1,2,1,4,3,5,1,1,2,2,1,1,43,2,90,US
118,3,3,4,3,2,4,4,3,4,3,3,3,3,3,5,4,4,4,4,4,4,2,17,2,75,US
119,5,4,5,5,2,5,4,4,5,1,5,4,3,5,5,5,4,4,5,5,4,4,16,2,100,US
120,4,4,4,3,3,4,4,3,4,2,2,2,3,4,5,4,4,2,2,3,2,2,19,2,90,US
122,5,2,3,4,4,4,4,5,5,5,3,3,4,2,4,3,3,2,4,5,4,3,15,2,97,CA
123,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,13,1,100,US
124,3,4,4,2,3,5,5,5,1,3,5,4,5,5,2,2,1,2,4,5,3,4,18,2,97,US
127,4,1,1,4,2,4,2,4,5,3,1,1,4,5,4,3,3,2,3,1,4,1,33,2,60,SG
129,5,5,5,4,3,4,4,3,5,2,1,1,2,4,5,5,3,3,4,3,2,2,22,2,20,IN
130,4,4,2,4,4,4,4,1,2,4,4,2,4,5,4,3,3,2,3,4,2,2,26,2,90,US
131,2,5,3,2,3,4,4,2,4,1,3,2,3,4,1,1,1,2,2,2,1,2,35,1,100,US
132,5,4,1,4,5,5,4,4,4,5,4,3,4,5,2,2,2,2,3,2,2,2,22,1,80,CA
133,5,3,2,5,5,3,2,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,20,2,100,US
134,5,5,5,2,4,5,5,5,5,4,4,1,5,5,5,2,1,2,3,5,4,4,18,1,85,GB
135,4,3,5,3,4,4,5,4,3,1,4,5,5,5,3,4,3,4,3,5,3,2,17,1,70,GB
136,4,3,4,1,3,5,4,4,2,3,3,3,3,2,4,4,3,2,4,4,3,2,23,2,86,FI
137,4,2,4,2,2,4,4,2,4,4,5,4,5,5,4,4,2,2,2,4,4,2,24,1,95,US
138,2,2,2,0,2,2,3,2,1,2,2,2,3,3,4,4,2,2,4,4,4,2,22,2,20,CA
139,5,1,3,4,5,5,3,5,5,5,4,4,4,5,5,3,5,1,2,5,5,1,23,1,92,US
141,5,2,0,3,3,4,3,5,4,3,5,5,4,4,5,5,5,4,5,5,5,4,25,2,100,US
142,5,4,5,4,5,4,2,5,5,4,4,5,4,5,5,4,5,4,4,4,5,4,15,1,95,AU
143,3,2,4,2,2,5,3,2,2,3,5,2,4,5,4,4,3,1,2,5,3,3,15,2,80,US
144,5,5,5,2,3,5,5,5,5,4,1,2,3,5,1,1,4,3,4,4,2,3,14,1,75,GB
145,4,4,4,2,3,4,4,2,4,1,1,2,2,3,3,1,1,2,2,3,1,1,23,2,80,US
146,4,5,5,4,4,4,5,4,5,3,4,4,4,4,5,5,2,4,3,4,3,2,31,2,89,US
147,3,2,4,4,5,4,3,4,4,2,4,5,4,5,4,4,4,4,5,5,5,4,27,1,90,IN
148,1,5,1,1,2,3,5,5,4,1,2,4,4,2,4,4,1,4,5,5,5,3,35,2,90,US
149,5,4,2,4,4,5,3,2,5,1,4,1,1,5,5,2,4,2,4,4,4,4,26,1,85,US
150,2,1,5,2,3,4,2,2,4,2,1,2,1,4,3,1,1,2,3,4,1,2,20,2,100,US
152,5,3,3,2,4,5,4,5,5,3,4,2,4,5,3,4,4,3,4,2,5,4,34,2,70,SE
153,4,4,4,4,2,4,3,3,4,1,2,1,4,4,4,4,1,3,2,1,2,2,28,2,80,DE
154,4,5,5,5,4,5,3,4,5,2,4,4,3,5,5,4,4,4,2,2,2,2,17,2,100,GB
155,5,4,4,1,3,3,3,3,1,1,1,1,1,4,1,1,1,1,1,1,3,1,29,2,90,GB
156,5,5,4,3,2,4,5,3,4,2,2,2,2,3,4,3,3,2,2,4,2,2,36,2,50,GB
157,2,3,3,3,2,4,4,2,5,1,2,1,2,4,3,2,2,2,2,3,2,2,20,2,100,US
158,4,1,4,2,1,5,2,1,2,3,4,1,5,5,4,4,5,4,5,5,5,4,20,1,100,US
159,4,3,2,3,4,5,2,3,4,2,3,2,4,4,4,4,3,2,2,3,2,2,25,1,70,US
160,4,1,1,2,5,4,3,2,2,3,4,3,4,4,2,2,2,1,4,4,4,4,22,1,100,US
161,4,4,5,2,3,4,3,4,4,2,1,1,3,4,2,2,2,3,1,1,2,1,51,2,92,AU
162,1,2,2,1,1,1,4,1,1,1,1,1,2,4,3,4,1,1,1,4,3,1,20,1,75,US
163,5,5,3,5,5,5,5,5,5,4,4,4,5,5,4,3,5,5,5,5,5,5,20,2,95,CA
164,3,3,3,2,5,4,3,2,4,1,3,1,4,3,3,3,3,3,3,2,3,2,52,1,90,CA
165,3,2,2,1,3,4,2,4,1,2,4,4,4,4,1,1,1,2,3,4,2,2,57,1,70,FI
166,5,4,2,3,3,4,2,1,4,1,4,4,4,5,4,3,4,3,5,5,4,4,15,2,75,AU
167,5,5,3,5,5,5,4,5,5,3,4,4,4,5,5,4,3,5,4,4,5,4,55,1,100,GB
168,4,5,4,2,2,4,5,2,4,2,1,2,2,2,4,4,2,2,4,4,4,2,15,2,90,US
169,5,2,5,3,5,5,2,2,5,4,5,4,5,5,2,3,4,4,5,4,3,3,15,1,85,BR
170,4,5,4,5,3,3,4,3,4,2,3,3,2,5,5,4,4,4,1,5,3,3,20,2,75,US
171,3,2,4,3,3,5,4,3,4,2,4,2,4,4,4,2,2,2,4,4,1,3,19,1,90,US
172,4,3,4,4,2,2,4,4,5,3,4,2,4,4,5,4,5,4,4,5,4,4,15,1,100,US
173,1,3,5,3,1,5,5,1,4,1,1,1,2,3,5,5,1,3,3,4,5,1,32,2,50,US
174,5,3,1,1,5,5,1,5,1,2,3,5,2,2,5,5,5,3,5,5,5,5,28,1,85,US
175,5,4,5,2,3,4,3,5,5,2,4,1,4,4,5,5,4,1,3,3,5,1,0,2,85,US
176,5,2,5,3,3,1,3,4,5,2,1,3,4,4,4,4,5,4,5,4,5,5,21,1,90,CA
177,3,2,2,2,2,5,3,3,4,2,1,1,2,2,4,3,3,2,1,1,2,2,19,1,100,US
179,4,4,4,2,5,5,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,33,1,90,US
180,4,1,3,3,4,4,2,4,2,2,4,2,4,4,4,2,3,2,4,5,2,2,24,2,85,PH
181,4,2,4,3,3,4,2,4,4,4,2,3,4,4,4,3,2,3,3,4,2,4,48,1,90,US
182,5,4,4,1,4,5,4,4,5,1,4,3,2,5,4,4,5,2,4,5,5,5,24,1,70,SG
183,2,2,4,4,1,4,1,2,4,1,1,2,2,1,4,2,1,1,2,4,3,1,63,2,90,US
184,3,1,4,2,3,4,2,3,2,3,1,1,3,4,1,2,3,3,2,3,3,1,49,2,90,US
185,4,3,4,4,3,4,4,4,5,3,3,2,5,4,3,3,4,4,4,4,1,4,24,1,70,IN
186,2,1,3,2,3,5,2,4,2,5,5,3,5,4,1,1,2,2,3,4,2,2,19,1,97,US
187,3,2,2,2,4,2,4,3,4,3,2,2,3,2,5,4,4,4,3,4,4,2,38,1,90,CA
188,1,4,3,1,5,4,5,1,1,5,1,1,4,5,1,1,1,1,1,2,1,1,42,2,85,US
189,4,1,4,3,4,4,2,4,3,5,4,3,4,4,3,3,3,2,3,2,4,2,25,1,85,GB
190,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,1,80,US
191,5,2,1,2,4,2,4,3,3,4,2,1,5,4,5,5,4,2,4,2,4,2,34,1,90,NL
193,4,4,2,1,2,2,1,3,4,4,4,1,2,5,4,4,4,3,1,1,3,1,21,1,80,US
194,4,2,3,2,3,4,3,4,2,4,3,2,4,4,2,3,2,2,2,4,2,1,24,2,88,US
195,5,2,3,4,3,3,5,3,4,2,3,1,5,3,5,5,5,3,3,5,5,2,25,1,100,US
197,4,4,3,2,3,4,4,3,2,2,1,1,2,5,3,3,1,1,1,1,2,1,42,2,70,NZ
198,1,5,2,1,1,4,4,1,3,1,1,1,1,1,4,4,1,1,1,1,1,1,29,2,80,AU
199,4,4,2,2,2,0,5,2,4,2,2,3,2,4,4,4,3,2,1,2,3,1,44,2,50,IE
200,0,4,4,1,2,4,2,2,4,1,1,2,1,2,4,3,2,1,2,4,2,1,40,1,90,NL
201,3,3,3,2,3,3,3,4,2,4,1,2,2,2,2,3,3,2,1,2,2,1,35,2,95,US
202,5,1,4,2,5,4,1,4,2,5,2,1,5,4,1,1,1,1,1,1,2,1,36,2,80,NZ
203,4,1,4,2,4,5,2,4,4,2,5,5,5,5,5,5,3,3,4,4,3,4,20,1,70,US
205,3,5,4,2,3,4,1,2,3,2,4,1,4,4,3,2,3,1,3,4,3,3,18,2,90,AU
206,4,1,4,2,2,5,1,2,3,1,2,1,4,2,4,1,3,2,3,4,4,3,16,2,80,PH
207,4,5,4,1,1,5,5,3,5,1,3,1,4,4,4,5,2,4,5,5,4,4,38,1,80,US
208,4,4,4,5,2,4,4,3,4,2,2,2,2,5,2,2,2,3,4,2,3,3,44,2,86,CA
209,4,3,4,5,3,5,3,5,4,5,2,1,4,4,4,4,1,3,5,4,4,1,0,2,90,US
210,5,5,5,1,2,5,5,4,1,5,4,3,2,5,4,1,4,3,4,5,5,1,40,2,100,US
212,4,4,4,2,3,4,4,2,4,2,1,2,2,4,4,3,2,3,4,4,4,2,58,2,85,US
215,3,3,4,2,2,3,4,2,3,2,1,2,2,4,4,4,2,2,3,4,4,2,28,2,60,US
216,3,2,5,3,4,4,1,4,4,1,3,2,2,1,5,5,4,3,1,4,1,1,26,1,50,FR
217,4,5,4,3,2,5,4,4,4,1,1,1,4,3,5,5,4,3,1,4,3,2,23,2,60,FR
218,4,3,5,3,4,5,4,4,5,4,3,5,4,5,4,3,3,4,4,5,4,3,27,1,80,US
219,5,4,5,5,3,5,4,5,5,5,3,2,4,5,4,4,4,4,5,4,4,4,27,2,80,US
220,4,2,4,2,3,4,4,2,4,2,2,2,2,1,4,3,2,2,1,2,2,2,39,1,66,FR
221,3,1,1,1,4,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,4,3,41,1,75,FR
222,3,2,2,4,2,4,4,4,4,2,2,2,2,5,4,4,4,4,2,4,3,2,30,2,90,US
223,1,5,1,1,1,3,4,1,4,1,1,1,1,1,3,4,1,1,1,1,1,1,29,2,90,AU
224,5,3,4,2,4,5,4,5,4,4,2,5,5,5,3,3,3,3,4,5,5,3,30,1,80,US
225,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,19,1,100,IN
226,5,4,2,5,5,5,2,5,3,4,4,3,5,5,5,2,4,4,5,5,4,4,27,1,80,US
227,0,2,2,2,4,4,2,5,4,2,2,1,2,3,4,1,4,4,4,1,2,2,22,1,75,US
228,4,4,5,2,2,4,4,3,5,2,2,2,3,4,3,2,2,2,1,2,4,1,43,2,90,GB
229,4,3,2,4,2,4,3,4,2,4,4,2,4,3,3,2,2,2,3,4,3,2,60,1,75,US
231,4,2,4,3,4,4,2,3,3,3,4,3,4,3,4,3,4,3,2,4,4,2,0,0,7,US
232,4,2,2,1,1,4,3,4,4,1,1,1,4,4,3,4,1,2,1,4,2,1,30,2,70,US
233,5,5,5,3,4,4,4,4,4,3,2,2,2,2,5,1,1,2,2,4,2,1,19,2,95,US
234,4,3,4,5,5,5,4,5,5,4,4,4,3,4,5,5,5,4,4,5,5,4,19,1,100,US
235,3,2,4,2,2,5,2,4,3,3,1,1,4,4,3,1,1,2,4,2,2,4,24,1,85,US
236,5,2,3,4,4,4,4,5,5,4,4,1,4,5,5,4,4,2,3,3,3,3,24,1,50,US
238,3,2,1,1,2,4,1,1,4,4,1,1,4,4,2,1,1,1,4,4,2,1,34,1,90,US
239,4,2,2,4,3,4,4,4,4,2,1,1,3,4,5,4,2,2,3,2,4,2,36,2,90,US
241,4,2,4,2,4,4,4,3,3,1,3,1,1,2,4,4,2,2,2,4,2,1,18,2,89,US
242,5,1,5,1,5,5,5,5,5,5,3,3,5,3,5,1,3,5,4,3,2,3,23,1,80,US
243,3,1,3,3,4,4,2,4,5,3,4,2,3,5,1,1,2,1,4,4,4,3,20,1,60,US
244,2,3,5,4,5,5,3,5,4,4,5,5,5,5,4,4,3,2,4,4,4,3,29,1,90,US
245,4,3,2,4,4,5,1,5,5,4,4,5,5,5,5,2,5,3,4,4,5,4,20,1,100,CA
246,5,2,2,5,5,4,2,5,3,5,3,4,5,3,5,3,0,3,5,5,5,4,28,1,90,US
248,4,2,4,3,3,3,2,3,3,4,2,2,2,4,2,3,2,5,3,4,4,2,50,1,95,US
250,5,1,2,2,5,5,1,5,2,5,2,1,5,5,4,2,3,3,2,1,2,1,42,2,90,US
251,2,4,2,2,5,5,4,5,4,5,2,2,5,4,2,1,1,2,1,4,1,1,55,1,95,US
253,5,3,4,4,3,5,4,4,4,3,4,4,4,4,4,2,2,4,2,4,4,2,46,2,85,US
254,2,4,5,2,5,4,5,5,4,4,4,4,2,5,4,2,4,4,3,4,1,2,23,1,80,FR
255,4,2,4,4,4,4,2,5,4,2,2,2,2,4,4,3,2,2,4,2,3,2,43,2,90,US
256,4,2,2,3,2,4,2,3,3,3,2,2,2,2,3,3,2,1,1,3,3,1,32,2,100,US
257,4,4,5,2,3,3,4,3,2,1,2,1,2,2,4,3,3,2,3,4,1,2,29,2,90,US
258,2,4,3,2,2,3,4,2,4,2,3,2,4,4,3,3,2,2,2,4,2,1,25,2,70,US
259,4,1,4,5,5,5,2,4,4,5,5,4,4,5,4,2,4,1,2,1,2,3,26,1,70,SE
260,4,4,4,4,2,4,4,2,4,2,2,2,2,5,4,3,2,4,1,2,2,1,32,2,90,US
261,3,3,2,1,2,4,3,4,3,2,2,3,3,1,1,1,1,3,2,4,2,1,31,1,90,GB
262,4,3,4,3,3,4,3,3,4,2,4,2,4,3,4,3,4,3,4,4,4,3,25,1,75,US
263,3,4,4,3,3,4,4,3,4,3,2,3,2,3,3,2,3,3,3,4,4,2,43,2,95,US
264,4,4,2,2,3,4,4,4,4,3,2,4,2,3,5,5,4,2,3,2,4,4,31,1,90,AU
269,5,5,5,1,5,5,4,4,4,2,4,1,1,3,4,4,1,1,4,5,5,1,27,1,90,US
270,5,3,5,2,2,5,2,3,2,2,4,2,4,4,5,4,2,2,2,4,2,4,17,1,95,US
271,5,4,5,2,2,4,3,3,3,2,2,2,2,3,5,3,4,2,3,5,2,3,17,2,80,US
272,5,4,1,3,3,5,3,4,2,3,1,1,1,4,1,1,1,1,1,1,1,1,35,2,100,US
273,2,5,5,1,1,3,3,3,3,2,1,2,1,2,3,2,3,2,3,4,2,3,17,2,80,US
274,2,1,1,2,1,5,4,1,4,1,4,1,3,2,5,5,4,3,3,2,2,1,17,1,100,US
275,5,2,5,2,4,5,2,4,5,4,3,1,4,4,2,5,1,2,2,2,1,1,43,1,100,US
278,0,1,1,1,5,5,5,5,1,1,5,5,5,5,1,1,0,1,5,5,5,1,18,2,100,US
279,5,4,4,1,4,5,4,4,4,1,2,2,3,4,4,3,2,2,2,4,3,2,37,2,98,US
280,2,2,2,2,5,3,2,3,2,2,4,4,3,4,3,4,3,3,3,4,4,3,41,1,90,US
281,3,3,2,1,3,4,4,2,3,2,3,5,4,4,4,3,3,2,2,2,2,2,46,1,80,US
282,4,4,4,1,3,4,4,2,5,2,2,1,4,3,2,1,2,2,2,3,4,2,31,1,100,US
283,5,4,4,1,4,4,4,5,4,1,1,1,1,5,4,4,3,3,3,4,2,2,21,2,90,US
284,3,1,2,4,5,3,2,5,2,5,5,4,5,4,3,2,3,3,4,4,4,3,16,2,99,US
285,1,2,2,2,4,1,1,4,2,4,4,4,2,5,4,1,2,2,4,4,2,2,18,1,50,AU
288,3,2,1,1,4,4,3,4,3,2,3,1,3,3,1,1,1,2,1,1,1,1,31,1,100,CA
290,5,3,5,4,4,4,5,5,4,5,3,5,2,5,5,4,5,4,5,4,4,4,17,1,60,IN
292,5,2,3,2,4,3,4,4,4,2,1,2,3,4,5,3,4,3,3,4,3,3,39,1,85,US
294,4,4,3,4,4,4,5,4,4,2,4,3,5,4,4,2,3,1,4,4,4,3,20,2,70,US
295,4,4,4,2,4,4,4,4,4,2,2,1,3,3,4,3,4,2,2,1,4,2,19,2,50,DE
296,4,4,3,2,2,3,4,2,3,1,1,1,2,4,4,4,2,2,2,4,4,1,22,2,98,US
