,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country,HSNScale
52,5,2,4,5,5,5,4,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,30,1,100,US,0.8
53,3,3,1,3,2,4,3,3,4,1,3,2,3,5,4,5,3,2,3,4,2,2,22,1,80,DK,0.52
54,5,3,4,2,2,5,4,1,5,2,4,3,3,5,5,4,5,4,3,3,4,3,19,1,70,US,0.62
56,1,1,3,1,2,1,3,4,1,2,1,1,1,4,3,4,1,1,1,1,1,1,59,1,95,US,0.34
57,2,5,5,2,3,4,5,4,5,2,2,3,3,4,2,1,2,1,3,4,3,2,17,2,100,US,0.7
58,3,4,4,2,3,4,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,21,1,100,IN,0.54
59,2,4,4,3,4,5,4,2,3,4,1,1,1,5,2,1,1,1,2,3,3,1,21,2,90,LK,0.62
60,4,4,4,5,2,4,4,4,5,1,3,4,3,4,4,4,2,4,2,4,4,3,16,2,90,GB,0.72
61,1,2,1,1,2,2,2,1,4,1,1,1,1,2,4,4,2,1,1,1,1,1,51,1,100,US,0.32
62,4,2,2,2,4,4,3,3,4,2,2,2,3,3,4,4,4,3,3,4,2,3,39,1,100,US,0.56
63,4,2,2,2,4,3,2,4,4,2,2,2,3,4,3,3,3,2,2,2,2,1,41,1,90,FI,0.54
64,3,2,3,5,5,4,4,4,5,4,4,3,3,3,3,3,3,1,2,4,4,3,22,1,80,US,0.7
65,2,2,2,4,3,3,3,1,1,4,4,4,3,4,4,3,4,1,3,5,4,1,51,2,100,US,0.42
66,4,2,4,2,2,4,4,5,3,2,2,1,4,5,3,3,2,2,2,2,2,2,44,2,80,US,0.6
67,5,5,5,3,5,5,4,5,5,5,5,5,2,5,4,4,2,3,5,5,5,5,22,2,100,US,0.84
68,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,21,1,96,US,0.84
69,5,4,4,3,4,5,4,4,4,3,4,3,5,4,3,4,3,2,1,4,4,2,31,1,80,US,0.74
70,3,3,3,3,4,4,3,4,5,4,4,4,4,4,4,2,2,3,4,4,2,3,27,1,50,CA,0.64
71,5,5,5,4,5,5,5,5,5,5,5,2,3,4,5,5,5,5,4,5,5,3,33,1,80,GB,0.88
72,3,4,5,3,4,4,5,4,4,2,4,4,5,4,4,4,4,4,4,5,4,4,29,1,90,AU,0.72
73,5,5,5,3,5,5,5,5,5,3,3,1,5,5,5,5,5,5,5,5,3,5,27,1,80,GB,0.86
74,4,3,2,3,2,4,5,4,5,2,2,2,5,5,5,4,3,3,3,5,1,2,36,1,90,NZ,0.64
75,4,4,4,1,1,5,4,1,4,2,1,1,3,5,4,4,1,1,1,2,1,1,24,2,85,US,0.56
76,4,2,2,4,2,3,2,2,4,2,2,2,3,3,4,1,3,4,2,4,2,2,19,2,70,US,0.5
77,2,2,2,1,1,2,3,1,2,1,1,1,1,2,4,2,1,1,2,4,2,1,31,2,75,US,0.32
78,5,3,2,2,4,5,4,4,5,4,5,2,5,4,4,3,4,3,5,4,4,3,27,2,85,US,0.68
79,4,4,5,5,2,4,4,1,5,3,1,1,3,1,5,5,4,1,1,4,1,1,18,2,95,CH,0.68
80,4,5,5,2,4,5,5,3,5,1,1,2,2,5,5,4,5,4,4,4,5,1,20,2,90,US,0.76
81,5,4,4,3,4,5,2,5,5,4,5,5,5,5,5,4,5,4,4,5,5,4,30,2,95,US,0.74
82,5,5,5,2,2,5,5,2,5,2,4,2,3,5,5,1,1,2,4,4,4,3,19,1,90,US,0.72
83,2,5,2,2,3,4,4,3,3,2,1,2,2,4,5,4,4,3,4,4,4,2,22,1,94,US,0.56
84,5,3,2,4,1,5,4,2,4,1,4,2,4,5,2,2,2,3,2,4,4,2,20,1,85,US,0.6
87,3,2,4,5,1,5,4,2,4,1,4,3,3,4,5,5,5,3,4,5,3,4,17,1,95,AU,0.6
