,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,country,HSNScale
11456,5,5,4,4,3,4,5,4,5,2,1,2,2,4,4,4,3,2,4,4,2,4,34,1,78,GB,0.78
11457,4,4,4,4,4,4,3,4,4,2,4,1,4,4,3,4,2,2,2,1,2,1,26,2,99,KE,0.7
11458,3,4,3,4,2,2,4,2,2,2,2,1,2,2,2,3,2,2,2,4,2,2,60,2,90,US,0.52
11459,0,3,2,4,4,4,4,3,4,2,3,4,4,3,4,4,4,4,4,4,4,3,44,2,90,US,0.56
11460,2,4,2,2,3,4,2,2,4,4,2,2,3,4,4,4,4,2,3,4,2,2,41,1,85,US,0.5
11461,5,2,4,2,4,5,4,5,4,1,5,4,4,5,4,2,4,4,4,4,2,4,19,1,80,NZ,0.7
11462,5,3,5,1,3,5,5,4,5,3,4,2,5,5,4,2,3,3,1,4,1,3,21,1,60,US,0.72
11463,1,4,2,3,4,4,0,4,4,4,5,4,5,5,5,4,2,1,4,5,5,1,31,1,85,US,0.52
11464,4,4,4,0,3,4,4,2,4,2,2,2,3,4,2,2,2,2,2,2,2,2,42,2,80,US,0.58
11465,3,1,1,3,1,3,1,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,64,1,100,US,0.32
11466,3,2,4,4,5,5,4,5,3,3,4,1,3,3,4,2,2,1,2,2,2,2,21,1,100,US,0.7
11467,4,1,1,5,5,5,2,5,1,5,5,5,4,5,5,5,5,4,5,5,5,5,24,1,100,US,0.58
11468,1,1,1,1,2,5,1,2,1,1,5,5,2,3,3,1,2,4,5,5,5,5,26,2,100,CA,0.3
11469,5,4,4,2,2,5,2,4,4,2,4,2,4,2,5,4,4,4,4,5,5,4,25,1,90,US,0.64
11470,5,1,1,2,5,5,1,5,1,1,1,5,1,5,1,1,1,4,1,4,4,2,34,1,50,US,0.52
11471,4,2,5,2,4,3,4,4,2,4,2,3,4,4,5,2,5,2,2,4,4,3,28,1,70,US,0.6
11472,5,5,1,5,4,5,5,5,5,2,4,3,5,5,5,5,5,5,5,5,5,2,21,2,70,ZA,0.8
11473,4,4,4,4,2,4,4,2,1,4,2,1,2,2,4,4,3,2,1,4,4,2,17,2,100,DE,0.58
11474,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,2,50,DE,0.66
11475,4,2,3,4,2,3,2,2,3,1,2,1,1,4,4,3,4,4,1,1,3,1,32,1,80,US,0.5
11476,4,3,5,4,3,4,3,3,4,2,1,2,3,4,5,4,5,4,1,2,4,2,18,1,60,EG,0.66
11477,5,2,1,2,4,5,3,5,4,4,4,3,3,4,2,4,5,2,5,5,5,4,31,1,90,IE,0.62
11478,1,1,1,3,5,5,1,5,3,3,5,5,5,5,1,1,5,4,4,5,2,5,20,1,100,US,0.5
11479,3,1,2,2,3,4,3,1,3,1,1,2,1,1,3,3,3,2,1,4,4,1,45,1,100,GB,0.44
11480,3,2,2,5,2,5,1,4,2,5,5,5,2,4,1,1,1,2,5,5,5,5,25,1,81,PK,0.52
11481,2,4,2,2,2,4,4,2,3,3,1,2,2,2,3,4,4,2,2,2,3,2,27,2,50,PL,0.5
11482,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,3,1,1,1,2,2,2,36,2,90,GB,0.38
11483,3,1,2,5,3,5,2,2,2,4,3,5,4,4,4,4,5,4,5,5,5,4,22,1,100,US,0.5
11484,4,1,2,1,4,5,4,4,4,3,5,5,5,5,1,2,3,3,5,5,4,3,29,1,90,CA,0.58
11485,4,3,4,4,2,3,4,2,3,1,2,2,2,3,4,2,2,2,2,4,2,2,21,2,95,GB,0.58
11486,4,2,3,3,4,4,2,4,4,4,5,5,4,4,3,3,3,3,4,4,5,4,16,1,98,US,0.6
11487,4,2,2,4,2,4,2,4,2,4,4,4,2,4,2,2,2,4,2,4,2,2,17,1,95,IN,0.52
11488,4,4,1,1,5,4,2,2,2,1,1,1,2,5,4,3,2,1,1,2,2,1,35,2,90,US,0.5
11489,5,2,4,3,5,4,4,5,4,4,2,2,3,5,4,3,3,4,4,5,4,2,30,2,75,CA,0.72
11490,2,3,2,2,2,2,4,2,2,2,3,2,2,4,4,3,3,2,2,3,3,2,45,1,90,GB,0.42
11492,4,4,4,2,2,4,4,2,4,2,2,2,3,4,4,2,2,2,2,3,4,2,42,2,75,US,0.6
11493,5,3,3,4,2,4,4,4,5,1,2,2,3,4,4,4,3,3,4,5,4,2,19,2,80,LB,0.68
11494,1,5,5,1,5,5,5,5,1,5,5,1,5,5,1,1,1,1,5,5,1,1,41,2,100,GB,0.66
11495,4,4,4,3,4,4,4,3,4,4,4,2,3,4,4,1,1,2,3,2,2,2,47,2,90,GB,0.68
11496,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,21,1,100,US,0.82
11497,4,4,3,2,4,3,4,2,2,2,2,2,2,2,4,4,4,3,2,4,3,4,29,1,80,PL,0.56
11498,5,5,5,4,4,5,4,3,5,3,3,2,4,5,5,5,5,4,4,3,3,4,22,1,85,IN,0.8
11499,5,2,5,3,3,4,2,5,5,3,5,4,3,5,4,2,4,4,4,4,5,4,19,1,80,US,0.68
11500,4,5,4,5,5,4,2,5,5,5,3,5,3,3,5,5,4,4,5,5,2,4,22,2,75,AR,0.78
11501,3,5,2,4,2,3,4,2,4,1,2,1,1,4,4,5,2,4,2,2,1,3,45,2,80,AR,0.58
11502,5,2,1,2,5,5,2,5,3,5,5,5,3,2,4,4,4,4,5,1,4,4,41,1,90,US,0.6
11503,4,3,4,2,4,3,4,4,3,2,1,2,2,5,4,4,3,3,2,4,1,1,18,1,80,US,0.62
11504,5,4,4,2,3,4,5,5,3,4,3,2,4,4,4,3,3,3,3,4,4,3,23,1,85,US,0.7
11505,4,3,4,4,4,4,4,4,2,1,2,3,2,3,3,3,4,4,4,3,4,3,24,2,57,IN,0.66
11506,5,5,5,4,4,4,5,3,4,1,2,2,2,5,5,5,5,4,4,4,5,3,23,1,90,US,0.78
11507,4,2,3,4,5,4,2,3,4,4,4,4,4,5,2,2,4,3,4,4,4,4,21,1,80,PT,0.62
11508,1,1,2,1,3,3,0,4,5,1,1,1,1,4,2,2,1,1,2,4,1,1,18,2,100,BE,0.4
11509,4,3,4,2,3,5,4,4,3,2,4,4,3,3,4,3,3,4,4,4,4,3,20,1,90,GB,0.64
11510,3,2,4,3,2,4,3,5,3,4,5,4,5,5,4,3,3,4,4,2,4,4,26,1,80,RU,0.58
11511,3,4,2,2,2,2,4,2,1,1,1,2,1,4,4,4,4,4,3,2,4,2,31,1,80,PL,0.44
11512,4,4,4,3,3,3,4,2,2,2,1,1,2,4,4,3,2,2,2,1,4,2,53,1,8,US,0.58
11513,4,3,4,1,1,2,3,2,1,1,1,1,1,3,4,4,2,2,1,2,2,1,51,2,95,US,0.42
11515,4,4,3,3,4,4,2,2,4,1,3,3,3,3,4,4,4,3,3,4,4,3,26,1,80,DK,0.6
11516,4,2,4,2,2,4,2,5,3,2,4,2,2,4,2,2,2,3,3,4,3,2,25,2,89,US,0.56
11517,1,5,3,1,1,5,1,1,3,5,1,1,1,5,1,1,0,1,1,1,1,1,51,2,100,CA,0.42
11518,5,5,5,5,4,5,5,4,5,1,2,4,4,4,4,5,2,4,2,4,1,4,20,1,70,DK,0.86
11519,4,5,5,2,1,4,5,2,4,2,1,1,1,3,3,2,1,1,1,1,2,1,17,2,90,US,0.64
11520,5,5,3,2,3,5,4,5,5,2,2,3,3,5,4,3,3,2,3,4,3,3,24,1,70,HR,0.74
11521,3,1,2,4,4,3,2,5,1,4,5,3,5,4,3,3,4,3,4,5,4,3,23,1,80,US,0.5
11522,4,1,1,5,4,4,1,5,1,5,5,2,4,3,5,5,5,4,5,5,5,4,29,1,90,GB,0.52
11523,5,1,3,4,4,4,4,2,4,4,4,5,4,5,3,3,3,2,2,3,4,3,16,1,85,US,0.62
11524,4,4,5,3,4,5,5,4,4,2,2,1,4,3,3,2,2,3,4,2,2,2,14,2,90,US,0.76
11525,3,2,3,4,4,5,3,4,4,4,3,2,3,4,3,3,2,2,4,4,3,4,39,1,85,US,0.64
11526,4,4,5,2,3,3,4,2,5,3,3,4,2,3,4,1,2,2,3,4,4,2,44,2,67,CA,0.64
11527,5,1,5,1,1,5,5,1,5,3,4,1,1,5,5,1,5,1,3,5,5,5,15,1,90,US,0.58
11528,4,4,5,5,4,4,2,5,4,1,1,1,5,5,4,1,2,1,1,3,1,1,23,1,25,DE,0.74
11529,4,4,2,2,4,4,2,3,4,1,2,1,3,5,4,3,2,2,4,3,2,1,24,1,80,HR,0.58
11530,1,4,4,2,2,4,4,2,2,1,1,1,1,4,2,2,2,1,1,2,1,1,40,2,90,GB,0.5
11531,5,4,1,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,4,5,5,4,25,2,98,US,0.78
11532,2,5,1,2,3,3,5,2,1,1,1,1,3,5,2,4,1,1,1,3,1,1,19,1,100,CN,0.48
11533,3,3,3,2,2,2,2,2,4,3,2,2,4,2,3,2,3,3,3,2,2,1,51,1,50,US,0.46
11534,5,5,4,5,5,4,5,5,5,5,2,2,5,4,5,5,5,4,4,4,4,3,19,2,90,US,0.86
11535,4,2,2,3,2,4,4,2,4,4,2,2,3,4,4,3,4,2,4,3,2,3,20,1,29,RS,0.54
11536,4,3,4,3,4,4,4,4,3,2,3,3,2,4,3,3,4,2,3,4,4,2,45,1,50,US,0.66
11537,4,4,5,2,2,4,4,2,4,2,1,1,3,4,2,2,2,2,1,1,2,1,20,1,75,US,0.62
11538,3,3,5,4,4,4,2,2,5,1,2,2,3,5,5,3,3,2,1,2,2,3,17,2,85,US,0.64
11539,4,4,4,2,3,4,4,2,3,2,1,2,3,3,4,4,3,2,2,3,2,2,20,2,90,US,0.6
11540,5,4,1,1,2,4,3,3,3,2,1,1,3,3,2,2,3,3,2,2,3,2,35,1,85,GB,0.52
11541,2,1,1,3,5,5,1,2,1,3,4,1,5,4,1,3,1,1,2,4,4,1,19,2,100,US,0.42
11542,3,1,2,2,2,4,4,2,2,1,2,4,4,5,4,2,3,2,2,4,2,2,20,1,90,US,0.44
11543,1,4,5,5,3,5,4,3,5,5,3,2,4,3,1,1,3,1,1,1,1,1,18,3,95,US,0.7
11544,2,5,2,2,2,4,4,2,4,2,2,1,2,4,1,1,1,2,2,2,2,2,18,1,75,US,0.54
11545,4,2,2,3,1,5,2,1,3,4,4,4,3,3,5,4,4,4,2,5,3,2,18,1,100,US,0.46
11546,5,4,2,3,2,3,3,3,5,2,2,2,3,4,4,4,2,1,1,4,2,1,15,2,95,CA,0.6
11547,4,3,3,0,4,4,3,3,4,4,3,3,3,4,4,4,3,2,4,4,4,3,17,2,87,US,0.56
11549,2,5,3,4,1,5,2,2,4,3,4,3,3,2,3,4,5,5,4,1,5,5,23,1,98,GB,0.56
11550,4,2,2,2,2,5,2,4,4,3,4,2,4,4,4,4,4,2,2,4,2,2,30,1,80,US,0.54
11551,5,1,1,5,5,5,1,5,1,1,5,5,5,5,1,1,5,5,5,5,1,5,18,1,100,IN,0.58
11552,4,4,5,2,1,4,4,1,4,1,1,1,1,3,4,2,1,2,2,4,1,1,19,2,95,US,0.58
11553,3,2,3,4,3,5,4,2,5,4,2,2,4,5,5,3,3,2,4,4,2,3,18,2,100,US,0.62
11554,5,4,4,3,3,4,5,3,4,4,1,1,3,3,5,4,1,2,4,3,1,2,22,2,70,PT,0.7
11555,2,3,4,2,1,2,4,2,4,2,2,2,3,4,3,4,2,3,3,4,2,1,26,1,90,DK,0.48
11556,5,4,2,5,4,5,4,4,5,2,4,2,3,5,5,5,5,1,2,1,4,1,24,2,95,CA,0.76
11557,2,4,3,2,3,3,4,2,3,2,2,2,2,2,4,2,4,2,3,2,4,2,38,1,80,PL,0.52
11558,3,4,2,3,2,2,2,2,2,2,2,2,1,4,2,2,3,2,2,2,2,2,32,1,80,US,0.44
11559,4,2,3,4,3,3,4,2,4,4,2,4,2,4,4,4,3,3,3,4,3,3,15,3,85,US,0.58
11560,5,1,4,4,3,4,3,4,5,4,3,1,1,5,5,1,5,2,1,2,1,1,35,2,90,DE,0.66
11561,4,2,4,1,3,4,4,4,2,2,3,1,3,2,2,1,1,2,2,2,2,2,19,1,97,US,0.56
11562,4,4,5,4,4,4,4,3,5,2,3,4,3,5,4,3,3,4,4,5,4,2,26,2,80,US,0.74
11563,5,2,4,4,5,5,4,5,5,2,2,2,3,3,4,3,5,4,4,3,5,3,30,2,80,EU,0.78
11564,5,4,4,5,3,5,5,5,3,4,4,5,4,5,5,5,5,4,5,5,4,4,20,2,85,US,0.78
11565,5,4,5,2,5,5,5,4,5,1,4,1,3,5,4,3,3,5,4,5,5,5,20,1,55,US,0.8
11566,4,4,5,2,4,5,4,4,5,5,5,1,3,5,5,4,4,3,1,2,1,2,20,1,88,US,0.74
11567,4,2,4,2,3,3,2,2,2,2,2,2,3,3,4,4,2,2,2,4,3,2,29,2,80,KE,0.48
11568,2,2,2,2,2,2,1,2,2,1,1,1,3,2,4,4,4,2,4,2,1,2,17,2,90,US,0.34
11569,3,4,2,1,2,3,4,3,5,1,2,1,1,1,4,4,3,1,4,1,4,1,32,1,90,PL,0.54
11570,5,5,5,5,3,5,5,5,5,4,1,2,2,4,5,5,4,4,4,4,5,3,15,2,70,CN,0.86
11571,3,1,1,2,4,5,1,1,4,1,5,5,5,4,5,5,5,3,4,5,5,3,21,2,100,US,0.44
11572,5,2,3,1,1,5,4,1,1,1,1,1,1,4,4,4,3,2,3,1,3,1,24,1,94,US,0.46
11573,1,2,2,1,4,5,3,1,4,3,4,1,2,3,1,2,2,2,3,3,3,2,20,1,77,GB,0.46
11574,5,3,3,5,5,5,4,4,5,4,4,4,5,5,4,4,4,3,4,5,4,3,36,1,80,GB,0.78
11575,4,4,4,2,2,3,4,2,4,2,4,2,1,2,2,2,2,4,4,4,0,2,26,2,80,PL,0.58
11576,5,1,5,5,5,5,5,5,5,4,4,2,4,5,5,4,5,5,5,4,5,3,43,1,95,US,0.82
11577,3,5,5,2,1,3,4,3,5,1,2,2,1,4,4,3,3,1,4,4,4,4,21,2,80,GB,0.62
11578,2,1,3,2,2,3,3,2,4,2,2,1,1,1,1,4,3,2,2,1,1,1,40,1,90,PL,0.44
11580,2,2,3,2,4,5,1,1,4,3,2,2,4,5,2,2,2,2,2,3,2,2,31,1,90,US,0.48
11581,3,3,4,2,2,3,4,3,4,2,2,1,3,4,4,2,2,2,2,3,2,1,22,2,95,US,0.56
11582,2,4,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,100,US,0.52
11583,2,5,4,3,2,5,4,4,4,2,2,1,2,4,4,4,4,4,4,3,4,2,20,2,90,US,0.66
11584,4,2,2,1,1,3,2,1,4,1,2,4,1,1,5,4,5,2,2,4,5,2,24,1,90,US,0.4
11585,2,1,2,2,3,4,2,2,4,2,2,2,2,3,3,3,3,2,2,4,4,2,21,1,100,US,0.44
11586,4,2,4,2,2,5,2,4,4,2,1,2,1,3,4,3,3,2,2,3,3,2,13,2,95,US,0.58
11587,4,5,4,4,2,5,4,3,4,1,4,2,2,5,5,4,4,2,3,3,4,1,20,1,75,GB,0.7
11588,4,4,3,4,3,5,4,4,2,3,4,5,2,4,4,4,2,5,5,5,5,2,50,2,85,US,0.66
11589,4,3,2,4,4,5,2,5,4,2,5,5,4,4,4,4,3,3,4,5,4,3,22,2,90,GB,0.66
11590,2,4,1,2,1,1,4,1,4,1,1,4,1,1,1,2,1,2,1,3,3,1,19,2,95,BE,0.4
11591,4,1,3,2,2,2,3,2,4,1,3,3,4,2,3,2,4,2,3,3,4,2,22,1,65,BE,0.46
11592,5,3,3,1,4,5,3,5,3,1,1,1,5,5,3,2,3,2,5,3,1,1,22,1,90,JP,0.64
11593,2,1,1,1,3,4,1,2,2,2,5,1,5,4,5,2,5,2,5,5,2,4,28,1,100,US,0.34
11594,2,2,2,3,4,4,2,2,2,2,4,1,4,4,3,2,4,2,3,3,4,3,25,1,80,US,0.46
11595,5,1,3,3,5,5,1,5,1,5,1,2,1,2,2,1,1,1,2,1,1,1,24,1,90,CA,0.58
11596,5,4,4,4,1,4,4,2,4,2,1,1,4,4,5,5,4,1,1,4,4,1,28,2,50,US,0.64
11597,5,2,2,2,1,5,3,4,4,2,2,2,2,2,5,4,4,4,4,3,4,3,43,2,90,GB,0.56
11598,4,4,4,2,3,4,5,4,4,1,4,3,4,4,4,4,4,4,4,5,4,4,17,1,90,DE,0.68
11599,2,2,2,2,3,4,4,4,4,4,5,4,4,4,3,2,4,3,4,4,4,4,28,1,98,US,0.54
11600,4,2,3,2,3,4,3,2,4,2,1,2,3,3,3,2,4,2,4,4,4,3,28,1,90,US,0.54
11601,5,5,5,1,3,5,4,5,4,1,1,1,1,5,5,4,1,1,1,4,1,1,21,1,100,US,0.74
11602,4,4,2,4,2,4,5,4,4,2,4,1,4,4,4,5,4,4,2,4,4,2,40,2,50,US,0.66
11603,4,3,4,2,3,4,3,2,4,2,2,2,3,4,3,2,4,3,3,4,4,2,24,1,80,US,0.58
11604,2,2,1,1,2,2,2,2,2,1,1,2,3,4,4,4,4,2,3,4,5,2,32,1,100,US,0.32
11605,3,2,3,2,2,4,3,2,2,2,1,1,1,3,3,2,1,2,1,2,2,1,52,1,80,US,0.46
11606,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,24,2,90,US,0.4
11607,4,3,2,2,2,1,3,2,1,2,1,1,2,3,1,3,3,1,1,1,1,1,29,2,80,NO,0.4
11608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,90,GB,0.0
11609,3,2,3,2,2,3,2,2,3,2,2,2,2,2,3,4,2,2,2,4,2,2,14,1,80,GB,0.44
11610,5,3,1,4,2,3,3,5,3,3,3,3,3,3,4,4,2,2,4,3,4,4,14,1,95,GB,0.58
11611,4,3,4,2,2,4,4,2,4,3,2,2,4,4,4,4,2,2,3,4,4,2,19,2,75,US,0.58
11612,5,4,4,4,4,4,4,4,4,2,1,1,2,1,4,4,4,1,2,1,4,1,25,1,96,GB,0.74
11613,4,0,4,1,2,4,4,1,2,1,1,1,1,1,2,2,1,1,1,4,1,1,21,2,100,US,0.44
11615,5,4,3,4,3,4,4,4,4,2,2,2,3,4,4,4,4,4,4,4,4,4,21,2,95,GB,0.7
11616,4,3,3,3,4,4,3,4,4,4,4,3,4,4,4,2,3,3,3,3,3,3,20,1,80,US,0.64
11617,3,2,4,2,3,3,3,2,3,2,2,1,2,4,4,2,2,2,2,2,2,2,22,2,100,US,0.5
11618,3,5,5,2,2,5,5,2,2,2,2,2,2,1,5,2,3,3,1,3,3,3,22,2,85,US,0.62
11619,5,5,4,1,4,5,5,4,4,2,4,3,2,5,4,4,3,4,3,1,2,3,29,1,70,GB,0.74
11620,4,2,3,2,3,3,4,4,2,5,3,4,4,5,4,4,3,4,5,4,5,4,40,1,10,CA,0.54
11621,3,1,1,4,4,1,1,2,4,2,4,1,1,4,4,4,4,1,4,4,4,1,22,1,83,US,0.42
11622,4,5,4,2,1,2,4,3,4,2,1,2,2,4,4,5,3,3,3,5,3,2,36,2,50,CA,0.58
11623,5,4,4,4,5,5,4,4,5,4,1,3,4,4,5,3,3,1,5,5,4,3,19,2,98,US,0.8
11624,3,2,2,2,4,0,3,3,3,3,4,3,4,4,3,3,3,3,4,4,4,3,30,2,50,US,0.44
11625,2,2,2,2,2,5,3,2,5,3,3,2,3,2,4,3,2,1,1,4,1,1,16,2,100,GB,0.5
11626,4,3,4,4,3,4,4,2,5,1,3,3,2,4,5,5,3,2,4,4,2,3,17,2,85,US,0.66
11627,4,5,5,4,4,5,5,5,4,5,3,3,4,4,3,2,4,3,4,5,5,2,20,2,95,PT,0.82
11628,5,2,1,2,5,4,2,4,1,5,4,1,4,2,1,1,4,1,1,1,1,1,18,2,96,AU,0.52
11629,5,2,2,5,5,4,4,5,4,4,4,4,3,5,4,4,2,4,5,5,5,5,23,1,100,US,0.72
11630,5,4,4,5,3,4,4,3,5,2,4,2,3,5,5,4,3,4,4,3,4,2,21,2,88,US,0.74
11631,5,2,5,2,5,5,5,5,5,4,2,3,4,3,3,4,2,4,4,5,4,3,15,2,95,US,0.78
11632,4,4,4,2,2,4,4,4,4,2,3,2,2,4,5,4,4,3,2,4,4,3,14,2,80,US,0.64
11633,5,1,3,4,4,5,1,5,4,2,4,2,5,5,3,4,5,2,4,4,4,4,18,1,80,US,0.64
11634,4,4,4,2,3,4,4,2,4,2,4,3,2,4,4,4,4,3,4,4,4,3,14,2,90,US,0.62
11635,5,4,4,4,4,4,4,4,4,2,2,3,4,4,5,4,3,2,5,4,3,3,18,2,97,US,0.74
11636,4,5,4,4,2,4,5,2,4,2,3,4,4,4,5,2,5,2,4,5,4,4,18,1,50,US,0.68
11637,2,4,4,2,1,4,5,2,4,1,2,1,1,5,5,5,4,4,4,2,5,2,48,1,90,US,0.56
11638,4,2,4,1,2,2,4,1,2,1,4,3,4,4,4,3,4,2,1,4,4,2,19,1,88,US,0.44
11639,5,4,4,3,5,5,4,5,4,5,4,4,4,5,3,2,3,5,4,5,4,3,27,1,77,US,0.78
11640,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,2,100,BR,0.82
11641,5,2,3,2,1,4,1,1,4,1,2,1,1,1,2,4,2,2,1,4,4,1,18,2,86,US,0.46
11642,1,1,3,4,5,5,1,4,5,3,5,5,5,5,4,1,4,2,4,5,2,4,18,1,65,CA,0.58
11643,4,2,4,4,2,4,5,0,4,1,2,2,2,4,4,3,4,2,2,2,1,1,37,2,85,US,0.58
11644,3,4,4,1,2,4,3,3,2,1,1,1,2,2,5,1,1,1,1,2,1,1,13,1,90,US,0.52
11645,4,5,4,1,4,4,4,4,4,3,4,2,4,4,2,1,2,2,4,4,2,4,16,2,80,US,0.68
11646,5,5,5,4,4,1,4,5,4,1,3,2,4,5,5,4,1,2,1,5,2,1,16,2,95,US,0.74
11647,4,2,5,1,2,5,3,2,2,1,2,3,3,5,4,3,1,2,4,4,2,1,28,2,80,US,0.52
11648,4,5,2,4,2,4,5,2,3,2,3,4,3,5,4,4,4,3,4,4,2,2,22,2,80,CZ,0.62
11649,3,2,4,2,3,3,4,2,4,2,2,2,2,3,4,3,2,2,2,4,4,2,49,1,75,HK,0.54
11650,4,2,3,2,2,3,4,3,4,3,1,2,2,2,5,5,3,2,2,4,4,2,52,2,88,US,0.54
11651,4,4,4,2,2,3,4,2,2,1,2,1,2,2,2,1,1,1,1,3,1,2,30,1,90,PL,0.54
11652,3,3,4,4,4,4,4,4,3,3,4,4,5,5,4,3,4,4,4,4,5,4,26,1,93,PL,0.66
11653,4,4,4,4,2,3,5,2,4,2,1,2,2,3,4,5,4,4,3,3,4,2,31,2,75,CA,0.64
11654,2,5,1,3,2,4,4,3,4,2,2,2,2,2,4,4,3,2,2,3,2,2,20,1,85,VN,0.56
11655,3,3,3,4,2,2,2,2,3,2,1,2,5,4,3,2,4,3,2,3,4,3,51,1,90,AU,0.48
11658,4,2,4,2,4,4,4,4,5,5,4,4,5,5,4,3,2,2,4,4,3,2,17,2,87,AU,0.66
11659,4,4,3,2,4,2,4,4,5,2,2,2,1,3,5,4,4,3,4,5,5,4,14,1,87,US,0.64
11660,5,5,5,1,3,4,4,3,3,1,1,2,1,2,5,1,1,1,3,5,1,1,24,1,90,US,0.66
11662,3,2,4,2,2,2,2,3,3,1,2,2,2,3,4,4,4,2,4,2,2,2,18,2,73,US,0.46
11663,5,2,4,1,3,5,5,4,2,4,4,1,1,4,2,3,4,4,4,2,5,1,17,2,80,IN,0.62
11664,4,1,1,2,4,4,3,4,3,1,5,5,5,4,1,2,4,4,5,5,5,5,17,1,100,US,0.52
11665,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,3,5,26,1,100,CA,0.78
11666,2,5,5,5,3,5,5,4,5,4,4,4,1,4,5,5,5,3,4,5,3,4,14,1,70,GB,0.78
11667,5,2,2,1,3,5,2,1,1,2,1,2,1,1,3,2,1,1,1,1,1,1,29,1,80,FR,0.44
11668,4,5,5,5,5,5,5,4,5,1,4,3,4,5,4,4,5,5,4,4,4,4,26,1,95,IN,0.86
11669,3,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,16,3,100,PL,0.74
11670,4,2,1,4,5,4,4,4,5,1,3,3,2,4,4,2,3,4,3,4,3,3,41,1,95,GB,0.66
11671,3,4,1,2,1,0,2,2,1,1,1,1,1,2,3,3,3,1,1,2,3,1,18,2,100,SK,0.32
11672,5,5,4,4,4,5,4,4,4,4,1,1,2,4,4,4,4,4,3,4,4,3,26,1,75,SA,0.78
11673,5,4,4,4,2,4,2,4,4,4,3,4,4,5,5,5,5,1,4,5,1,3,20,1,88,SG,0.66
11674,3,2,3,3,3,4,4,2,4,4,4,4,5,5,3,3,2,3,5,5,5,4,32,2,90,AU,0.56
11675,1,1,4,2,2,1,2,1,4,1,2,2,4,5,5,5,4,2,2,5,4,4,17,1,80,US,0.36
11676,5,2,2,4,5,5,4,5,3,3,4,5,5,4,5,3,5,3,3,4,2,3,27,1,90,US,0.7
11677,1,4,4,4,1,1,5,1,4,1,1,1,1,1,5,4,3,3,1,1,4,1,13,1,95,US,0.5
11678,4,2,1,1,4,3,3,3,4,2,1,2,2,3,3,4,2,3,1,2,2,1,53,2,80,US,0.5
11679,4,4,3,2,5,3,4,2,4,2,2,1,3,1,5,4,5,1,3,3,3,1,14,2,87,US,0.62
11680,5,2,4,2,2,4,4,4,5,2,4,2,4,4,4,5,4,4,4,4,4,3,21,2,70,US,0.64
11681,3,2,3,1,1,4,3,2,5,3,1,1,2,1,4,1,1,1,1,2,4,1,39,2,98,US,0.48
11682,5,5,5,4,2,5,5,3,5,1,1,3,3,5,5,4,5,4,2,2,3,2,24,2,88,US,0.78
11684,4,5,5,1,1,5,5,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,28,2,100,GB,0.56
11685,4,3,4,2,3,4,4,4,4,2,2,2,3,5,2,4,4,2,3,4,4,3,41,1,100,US,0.64
11686,4,2,4,2,2,4,4,2,3,1,2,1,2,1,5,5,4,4,4,4,5,2,37,1,50,CA,0.54
11687,4,4,4,2,2,4,4,2,4,2,4,2,2,4,3,3,4,2,2,4,2,2,27,1,90,US,0.6
11688,4,3,2,2,4,4,3,3,4,2,3,4,5,5,4,4,3,1,3,4,4,3,42,1,80,US,0.58
11689,4,4,4,2,1,3,4,3,2,1,1,1,2,4,4,5,4,2,2,4,4,1,35,2,95,CA,0.54
11690,5,1,2,1,0,5,3,4,1,1,3,2,2,5,5,4,4,3,4,4,4,2,26,1,39,US,0.44
11691,2,2,2,1,2,3,2,2,4,2,1,1,2,4,2,3,2,2,4,2,4,2,23,2,90,US,0.4
11692,3,4,2,1,1,2,3,1,3,1,1,1,2,2,4,4,2,1,2,2,2,1,57,2,95,US,0.4
11693,3,4,3,2,4,4,4,2,3,1,2,3,4,4,0,1,2,3,3,4,2,4,19,1,75,US,0.58
11694,3,5,1,2,3,3,3,3,2,5,1,4,5,5,4,4,5,4,3,4,3,3,16,2,70,FR,0.5
11695,2,4,1,2,2,5,5,2,4,1,5,1,4,5,5,2,1,2,4,5,5,4,17,1,99,GB,0.54
11696,3,1,2,2,2,4,3,2,3,2,4,3,4,5,2,2,1,2,4,5,4,4,20,1,45,US,0.44
11697,3,1,1,4,1,5,4,4,1,5,1,2,1,4,2,4,3,3,3,4,4,3,19,2,10,SE,0.48
