,HSNS1,HSNS2,HSNS3,HSNS4,HSNS5,HSNS6,HSNS7,HSNS8,HSNS9,HSNS10,DDP1,DDP2,DDP3,DDP4,DDN1,DDN2,DDN3,DDN4,DDM1,DDM2,DDM3,DDM4,age,gender,accuracy,HSNScale,US/OTHER
4502,3,1,3,2,4,5,4,2,3,2,2,1,4,3,3,1,2,1,3,4,2,3,19,1,60,0.54,1
4504,4,1,1,2,5,5,2,5,2,2,2,1,4,5,4,2,4,2,4,4,4,4,30,1,95,0.54,0
4506,5,1,1,2,2,5,3,3,1,1,1,1,1,4,4,1,1,1,1,1,4,1,46,1,100,0.46,0
4507,4,2,4,2,4,4,2,2,4,3,4,2,4,4,3,2,2,3,3,2,3,3,21,1,90,0.56,1
4508,4,1,4,2,1,4,3,3,4,1,4,2,4,4,4,3,4,3,2,3,1,1,18,1,66,0.52,1
4509,2,1,1,3,3,5,1,5,4,4,5,5,5,5,4,1,3,1,5,1,2,4,24,1,99,0.5,0
4510,3,3,3,4,4,4,5,3,5,3,4,4,4,5,2,3,4,2,4,4,3,3,23,1,80,0.68,0
4511,3,4,4,3,5,5,4,5,3,5,2,3,3,4,5,4,4,2,4,5,4,3,16,1,69,0.72,0
4513,5,2,4,3,2,5,4,3,4,2,4,2,5,5,4,2,4,4,5,5,4,4,16,1,85,0.64,0
4514,5,3,4,4,4,4,4,4,4,4,5,2,5,5,4,2,5,4,5,5,5,2,18,1,90,0.72,0
4515,4,3,2,4,2,4,2,3,3,2,4,2,4,4,5,3,4,2,3,5,5,4,18,1,90,0.54,0
4516,5,4,4,4,2,3,4,4,4,2,4,4,3,3,4,3,4,4,4,5,3,3,21,1,75,0.68,0
4517,4,1,2,4,4,5,2,4,2,2,5,2,4,5,4,2,2,1,2,4,2,2,23,1,96,0.56,0
4518,4,4,3,3,4,4,3,4,4,5,5,5,4,5,5,5,3,5,4,5,3,4,20,1,90,0.66,1
4519,5,1,3,2,1,5,2,2,2,1,4,1,5,5,4,3,5,1,1,4,5,1,15,1,100,0.46,0
4520,5,2,2,2,5,4,4,4,4,1,4,2,2,2,4,4,4,2,3,5,3,4,19,1,90,0.64,0
4521,5,1,5,3,5,5,2,4,5,5,5,1,5,5,5,2,5,5,5,5,5,5,18,1,95,0.7,0
4522,5,4,3,4,2,5,5,5,4,1,4,5,3,5,5,5,5,2,4,5,3,4,18,1,78,0.74,1
4523,4,2,2,3,2,4,2,2,2,3,4,4,4,3,4,4,3,3,4,5,3,2,20,1,80,0.46,1
4524,5,3,2,1,3,4,4,1,2,1,1,2,2,4,5,5,2,2,5,5,4,1,27,1,80,0.5,0
4525,3,1,1,3,4,4,3,2,2,2,3,3,5,5,1,1,2,2,4,5,4,4,22,1,95,0.46,0
4526,4,5,5,2,3,4,5,3,3,2,1,2,1,4,4,3,2,2,4,4,4,2,19,2,90,0.68,0
4527,4,3,3,4,2,4,4,4,4,4,2,2,2,3,4,4,3,2,4,4,3,2,22,1,50,0.64,1
4528,4,5,4,2,4,5,3,3,4,1,2,2,4,2,4,3,4,3,2,4,4,2,21,1,85,0.68,1
4529,4,2,4,3,3,3,4,2,4,4,4,4,5,5,3,3,3,3,4,5,4,4,21,1,85,0.58,0
4530,4,5,4,2,3,4,5,2,4,1,3,1,2,4,3,5,2,2,1,2,2,1,18,1,80,0.66,0
4533,4,1,2,1,2,3,3,3,3,2,4,3,4,2,2,3,3,2,3,5,4,3,14,1,90,0.44,0
4534,4,3,4,2,1,3,4,2,2,2,2,1,4,2,4,2,2,1,2,4,4,1,20,1,90,0.5,0
4535,4,3,4,3,5,4,4,4,4,5,4,3,4,4,4,2,4,3,2,3,3,3,17,1,80,0.7,0
4536,3,2,4,4,3,5,4,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,16,1,95,0.68,1
4537,2,4,4,4,4,4,2,5,4,5,4,4,4,2,2,2,2,2,4,4,2,4,18,1,70,0.66,1
4538,2,1,3,2,1,4,2,2,4,2,4,2,3,3,5,3,4,2,3,4,1,2,21,1,90,0.42,0
4539,3,4,4,2,3,5,5,2,4,3,3,2,3,4,3,1,3,2,4,4,3,2,22,1,70,0.64,0
4540,4,2,2,2,3,4,4,2,4,3,4,3,3,3,4,4,2,3,3,3,4,2,18,2,95,0.54,0
4542,5,1,2,1,1,5,1,4,2,1,1,1,5,5,5,4,5,1,1,3,4,1,15,1,100,0.44,0
4543,5,4,4,2,2,5,4,4,4,2,1,2,2,4,5,5,2,3,3,4,4,3,21,1,85,0.68,0
4544,4,1,2,4,4,4,1,4,5,2,5,5,5,4,5,3,4,3,4,5,5,4,23,2,100,0.58,0
4545,5,5,5,2,2,5,5,5,5,2,2,2,4,5,5,4,1,5,3,5,4,2,17,2,75,0.78,0
4546,4,2,4,1,5,3,2,4,4,4,2,3,2,1,3,3,3,1,1,4,2,2,20,2,85,0.58,1
4548,2,4,2,1,4,4,4,4,4,1,2,3,4,4,5,5,5,4,4,4,5,3,26,1,94,0.58,0
4549,3,4,4,4,4,3,4,2,4,4,1,2,2,5,4,4,2,2,3,2,3,3,18,1,75,0.64,0
4550,3,4,5,3,2,4,4,1,4,1,1,2,1,3,4,2,1,2,1,4,2,1,16,1,90,0.6,0
4551,4,3,2,2,4,4,4,2,4,2,2,2,3,4,4,4,2,3,2,3,2,2,34,1,95,0.58,0
4552,3,1,4,2,3,4,2,4,3,3,3,1,3,4,4,4,3,1,3,4,4,2,15,1,90,0.52,0
4553,5,4,5,4,4,5,4,4,4,3,4,2,4,2,5,4,5,3,5,5,5,2,18,1,80,0.78,1
4554,3,4,4,3,2,3,2,4,4,2,2,4,4,4,3,3,3,2,4,4,4,3,16,1,85,0.58,0
4555,2,1,2,4,4,4,3,4,4,2,5,5,4,4,4,2,4,2,4,4,4,4,17,1,100,0.56,0
4556,1,5,5,5,2,5,5,1,5,1,1,5,5,5,5,5,5,5,1,5,4,1,16,1,88,0.68,1
4557,2,4,5,2,1,4,3,2,4,4,4,2,1,3,4,4,2,3,4,4,4,3,16,2,90,0.54,0
4558,3,5,5,1,2,4,4,1,3,1,3,2,3,5,3,4,2,1,1,4,1,1,17,2,80,0.56,0
4559,4,2,2,2,2,4,4,3,3,1,1,2,2,3,4,3,2,2,1,3,3,2,17,2,55,0.52,0
4560,5,2,4,4,5,5,4,5,4,4,4,4,4,5,2,2,3,4,4,4,4,3,18,2,90,0.76,0
4563,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,2,95,0.88,1
4564,3,1,4,3,4,4,2,2,4,2,4,2,4,3,3,1,2,2,3,4,2,3,16,1,79,0.54,1
4566,5,4,4,4,2,4,5,4,5,4,4,2,4,4,2,2,2,2,3,4,2,2,20,2,85,0.74,0
4568,5,5,5,4,3,2,5,4,5,1,3,4,4,3,5,5,5,4,5,5,3,4,14,1,100,0.76,0
4569,5,4,5,2,4,5,4,4,4,4,2,3,4,5,4,4,3,2,3,5,4,3,19,2,85,0.74,0
4570,2,3,4,5,3,2,4,3,4,3,3,3,3,3,4,5,2,4,3,5,2,3,14,2,90,0.6,0
4571,5,1,5,3,5,5,1,5,3,5,5,5,5,5,4,3,3,3,5,5,4,4,18,1,100,0.66,0
4572,4,2,1,2,2,5,4,2,2,2,2,2,2,1,4,4,5,2,2,4,4,2,17,1,100,0.48,0
4574,4,2,4,1,4,5,2,1,4,4,1,1,4,5,1,2,1,1,1,5,1,1,21,2,85,0.54,0
4575,3,4,4,3,1,4,2,2,3,2,3,3,1,3,2,2,1,1,3,4,1,2,20,2,70,0.52,0
4576,5,3,5,1,5,3,2,3,5,4,3,3,3,5,3,3,5,5,5,5,5,5,26,1,95,0.64,1
4577,4,4,4,2,2,4,4,2,3,2,1,2,1,3,5,4,2,3,3,4,4,2,23,2,87,0.58,0
4578,3,3,2,2,2,2,2,4,4,1,4,4,3,4,5,5,4,3,3,4,4,3,22,2,90,0.48,0
4579,4,2,4,4,2,5,3,2,4,2,3,2,4,4,4,2,4,2,1,4,2,2,21,1,90,0.6,0
4580,4,4,3,5,4,4,4,3,4,5,4,2,5,3,5,5,5,3,3,2,2,4,23,2,95,0.7,1
4581,4,4,4,3,4,4,2,3,4,4,2,3,4,5,4,1,4,4,3,5,2,4,21,2,96,0.64,0
4582,4,2,3,2,2,3,4,5,3,1,1,1,3,1,5,5,4,4,3,4,2,3,19,2,90,0.56,0
4583,5,2,2,2,2,4,4,2,4,1,1,1,2,3,4,3,3,2,2,4,3,2,20,1,85,0.54,0
4584,4,3,4,1,1,1,3,2,4,1,1,1,1,2,5,5,3,1,2,4,4,1,16,2,85,0.46,0
4585,3,3,4,3,3,4,5,2,4,2,1,1,1,4,3,4,3,1,2,3,2,1,48,2,100,0.62,1
4586,5,2,4,4,4,4,4,3,2,2,2,2,3,5,5,3,3,2,4,5,5,2,22,1,90,0.64,0
4587,4,4,5,4,4,5,4,4,3,5,4,4,4,4,4,1,1,4,5,5,5,4,21,2,90,0.74,0
4588,4,4,2,5,2,5,4,4,5,2,5,4,5,5,2,2,2,4,5,4,4,2,22,1,90,0.7,0
4589,4,3,3,3,4,4,3,3,5,3,3,4,3,4,5,5,5,3,3,5,4,3,20,1,80,0.64,0
4590,4,1,3,3,3,4,2,4,3,4,3,3,3,5,4,3,3,2,3,4,3,2,19,2,100,0.54,1
4591,4,4,4,2,4,4,4,4,4,2,2,2,2,4,4,4,2,2,2,4,2,2,23,2,90,0.68,0
4592,4,2,1,2,1,5,2,2,3,1,1,1,1,3,5,2,4,2,1,2,1,1,32,2,100,0.44,0
4594,4,4,5,2,4,5,4,3,4,2,2,1,2,5,4,4,4,4,4,5,2,4,23,1,80,0.7,0
4595,2,4,4,2,4,4,3,3,4,2,2,4,2,5,4,2,2,2,4,4,3,4,29,2,80,0.6,1
4596,4,4,1,4,2,4,4,4,5,1,1,2,2,4,5,4,4,1,4,5,2,3,19,1,99,0.64,0
4597,5,1,2,4,4,5,3,2,4,2,4,5,4,5,4,3,2,1,2,4,1,1,20,1,90,0.6,1
4598,1,2,1,5,2,5,4,1,4,1,2,1,3,4,5,4,3,1,3,4,4,2,24,2,90,0.5,0
4599,3,4,3,1,3,5,4,3,4,2,1,1,2,4,2,3,2,2,1,2,1,1,31,1,90,0.6,1
4600,4,1,3,3,3,4,4,4,4,3,4,3,4,4,3,2,3,2,4,4,4,4,19,1,85,0.6,1
4601,4,2,5,3,4,5,4,4,4,4,5,4,5,5,1,2,2,2,4,5,4,4,17,1,85,0.7,1
4602,4,4,4,4,2,4,3,2,4,3,3,2,4,4,4,4,5,1,4,4,3,3,21,2,80,0.62,0
4603,4,5,4,4,4,5,4,5,4,2,1,2,4,5,4,4,4,4,1,4,4,1,22,1,98,0.78,1
4604,2,1,3,2,4,2,3,2,2,2,4,3,3,2,4,4,3,4,4,4,3,3,20,2,80,0.42,1
4605,3,1,3,3,2,4,1,4,4,1,4,2,4,4,2,1,1,2,2,4,1,3,16,2,50,0.5,0
4606,5,1,4,1,5,5,1,4,2,1,1,2,3,5,5,2,1,1,3,5,4,4,24,1,87,0.56,0
4607,2,1,1,2,2,4,4,2,2,2,3,3,4,4,4,3,4,1,1,2,2,2,18,1,98,0.4,0
4608,5,2,5,3,2,4,5,2,5,1,4,1,2,4,4,4,4,2,5,5,2,3,22,1,70,0.66,1
4609,5,5,5,5,4,5,5,5,5,2,5,2,5,5,5,1,5,4,5,5,5,5,35,2,80,0.88,1
4610,4,4,4,5,5,5,4,3,5,4,5,4,4,5,5,3,4,4,4,4,4,4,28,1,90,0.78,0
4611,4,4,2,2,1,2,3,1,3,1,2,1,1,2,3,4,2,1,2,1,4,2,23,2,100,0.44,1
4612,4,3,2,2,3,4,4,4,4,2,4,4,4,4,3,3,4,3,4,2,4,3,25,2,90,0.6,1
4613,4,4,5,1,2,5,2,4,4,4,4,3,5,4,4,4,5,3,4,4,5,2,32,1,100,0.62,0
4614,5,2,4,4,4,5,3,2,4,2,1,3,2,4,5,5,3,2,1,4,2,2,26,2,75,0.66,0
4615,3,2,4,2,3,4,4,2,4,2,2,2,4,5,3,2,2,2,2,3,2,2,35,2,80,0.56,0
4616,4,4,4,2,4,4,4,2,4,2,2,2,4,4,4,4,4,4,4,4,4,2,37,2,50,0.64,0
4618,4,2,3,4,3,4,4,4,4,3,2,3,4,4,5,4,3,3,4,4,5,3,32,2,100,0.64,0
4619,5,4,4,3,2,2,3,4,4,2,2,1,2,4,4,4,4,3,2,4,5,1,25,2,90,0.62,0
4620,4,4,4,2,3,3,4,2,3,3,2,1,2,3,4,4,2,2,3,4,4,2,23,2,60,0.58,1
4621,4,4,5,4,1,4,5,4,4,2,4,3,5,4,5,5,5,3,4,4,5,4,18,2,80,0.7,0
4622,4,3,1,2,2,1,4,2,4,1,3,3,2,4,4,4,4,3,3,3,4,2,29,2,95,0.46,0
4623,5,4,5,5,4,5,5,5,4,3,5,4,5,5,5,5,5,3,4,5,3,4,19,1,95,0.84,0
4624,3,1,1,2,1,5,1,1,2,3,5,3,5,4,3,2,3,1,5,4,2,2,16,2,100,0.34,0
4625,4,5,5,4,4,5,5,4,4,5,4,5,5,5,4,3,2,3,3,4,3,4,16,1,90,0.8,0
4626,3,4,1,2,4,5,4,5,3,3,2,4,4,1,4,4,2,2,1,2,4,2,28,1,85,0.62,1
4627,5,4,5,4,5,2,2,5,4,5,5,3,4,3,5,4,4,4,4,5,3,4,25,1,85,0.72,0
4628,4,4,4,2,3,4,4,4,4,2,2,2,3,2,4,4,2,2,2,4,2,2,21,1,56,0.66,0
4629,5,5,5,2,1,5,4,1,5,1,1,1,1,5,4,1,2,1,1,2,1,1,18,1,92,0.66,1
4630,5,5,4,3,2,5,5,2,4,1,1,2,1,3,3,3,1,5,5,4,4,3,26,2,95,0.7,0
4631,5,5,5,3,2,5,5,4,5,3,2,1,4,3,4,3,2,2,3,2,4,1,23,2,90,0.78,1
4632,4,5,4,3,2,4,5,2,5,2,1,1,1,3,4,3,3,1,2,3,3,1,22,1,100,0.68,1
4633,4,5,4,1,2,4,4,2,4,1,2,1,3,5,4,4,2,3,3,4,3,2,17,1,90,0.6,0
4634,4,5,4,1,2,4,4,4,5,1,4,4,5,4,5,5,5,4,5,5,5,4,36,2,8,0.66,0
4635,5,1,4,4,5,5,2,5,5,5,4,5,3,5,4,4,2,3,3,5,4,2,23,2,85,0.72,0
4636,2,2,4,4,3,4,3,5,3,2,4,5,4,5,2,2,2,2,2,4,4,3,22,2,90,0.6,1
4637,2,2,2,2,3,1,3,2,4,2,1,1,2,1,3,4,3,1,1,4,1,1,16,1,75,0.42,1
4638,3,1,5,5,4,5,4,4,2,3,5,1,2,5,4,4,4,3,3,2,3,1,20,1,88,0.66,1
4639,3,1,1,1,2,4,4,1,3,1,1,2,3,3,3,2,3,3,1,1,3,1,17,1,50,0.4,0
4640,4,4,4,4,5,5,4,4,4,2,1,2,4,4,4,4,4,3,2,4,4,2,20,1,80,0.76,1
4641,2,4,4,4,4,4,4,1,4,2,5,3,1,5,5,3,2,4,5,4,3,4,18,1,70,0.62,1
4642,5,4,4,2,4,5,4,4,4,1,1,2,4,5,5,5,3,3,3,1,4,2,31,1,85,0.72,1
4643,4,1,1,2,5,5,2,3,4,4,5,5,5,5,4,2,3,1,4,5,1,3,18,1,95,0.54,1
4644,3,2,1,3,3,2,2,2,2,3,4,2,4,4,4,4,4,2,3,5,2,2,22,1,75,0.4,1
4645,4,1,2,4,4,5,2,4,2,4,3,4,4,4,1,2,3,3,4,5,5,4,22,1,1,0.56,1
4647,5,2,3,2,4,5,3,5,4,3,4,3,5,5,4,1,2,4,4,5,3,3,18,1,82,0.66,0
4649,3,2,2,1,2,4,3,4,3,3,3,2,4,4,3,2,2,4,3,3,3,2,22,1,60,0.48,0
4650,5,2,4,4,4,4,2,5,5,2,5,5,4,5,4,5,5,4,4,5,5,4,18,1,95,0.7,1
4651,3,2,3,3,4,5,4,4,4,2,5,3,1,4,5,4,4,4,4,4,2,2,21,1,80,0.64,1
4652,4,3,5,5,3,4,4,3,5,2,4,2,5,2,5,4,2,4,2,5,1,4,17,1,70,0.72,1
4654,5,5,5,4,2,4,4,4,4,2,1,3,1,4,4,5,4,1,1,4,5,4,27,2,61,0.74,1
4655,4,2,3,3,2,3,2,2,5,1,1,2,2,5,5,5,5,4,2,4,2,2,19,1,90,0.52,1
4656,4,4,2,3,5,5,4,4,5,2,3,2,3,5,5,3,3,2,4,4,2,1,18,1,85,0.72,1
4657,5,5,4,3,4,5,5,3,5,2,1,1,2,4,5,5,4,4,3,5,3,3,24,1,80,0.78,1
4658,1,1,2,4,2,5,2,1,1,1,4,5,4,4,5,4,3,2,4,4,4,4,18,1,95,0.38,0
4659,2,2,3,3,3,4,3,3,4,3,4,4,3,3,4,4,4,4,4,3,4,2,20,1,50,0.54,1
4660,4,1,3,2,4,5,2,1,4,2,2,1,3,4,4,3,3,2,2,2,2,1,21,1,80,0.52,1
4661,4,1,3,3,5,5,1,5,4,4,4,4,5,5,2,4,1,1,3,4,5,4,18,1,80,0.62,1
4662,2,4,2,3,2,3,4,4,4,2,3,2,1,1,3,3,1,2,2,3,2,2,17,1,82,0.56,0
4663,3,1,2,2,2,5,2,2,3,2,1,1,2,3,3,2,3,3,2,3,2,2,16,1,52,0.44,0
4664,3,2,4,5,4,5,3,4,4,4,2,3,4,4,5,4,4,2,4,5,2,3,20,1,75,0.68,1
4665,2,1,1,3,4,4,3,1,2,5,4,3,4,2,2,2,3,2,4,4,3,1,18,1,90,0.42,1
4666,4,2,4,3,4,4,2,5,5,5,4,4,4,3,5,4,3,4,2,4,4,4,23,1,99,0.66,1
4667,5,1,5,2,5,5,4,5,4,5,5,5,5,5,5,4,3,5,5,4,5,3,18,1,100,0.72,0
4668,3,1,2,1,4,4,2,2,4,4,4,1,4,5,4,2,4,2,4,4,4,4,25,1,70,0.46,0
4669,4,1,2,2,5,4,4,2,4,1,2,2,1,4,4,4,4,2,2,2,1,1,20,1,83,0.56,1
4670,4,4,3,5,4,4,4,4,4,1,4,4,4,5,4,4,3,3,5,4,4,4,18,1,99,0.72,1
4671,5,1,4,5,5,5,2,5,1,5,4,5,4,5,1,2,2,3,4,5,5,4,15,1,50,0.66,1
4672,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,24,1,100,0.88,0
4673,4,3,4,3,4,3,4,4,3,4,2,2,3,5,5,4,4,3,3,4,4,3,30,1,90,0.64,1
4675,4,5,5,4,3,4,5,4,5,2,1,2,2,3,4,2,4,4,2,2,4,2,25,2,80,0.78,1
4676,2,1,2,4,4,4,2,2,2,4,4,4,2,4,4,4,2,2,4,5,4,2,25,1,90,0.46,0
4677,4,2,3,3,4,4,3,4,3,3,4,1,2,4,4,3,4,4,4,4,4,4,18,1,75,0.6,0
4678,3,4,3,2,3,4,5,3,4,1,3,2,3,4,4,4,4,1,2,5,2,2,20,1,75,0.62,1
4679,3,4,4,4,3,5,4,2,5,4,2,2,3,4,4,4,4,4,2,4,2,2,18,1,85,0.68,1
4680,4,2,4,4,5,4,4,4,4,5,4,4,4,4,2,1,2,2,3,4,4,4,29,1,90,0.7,1
4681,4,4,4,2,4,4,4,4,4,4,2,2,3,3,2,4,4,4,2,3,1,2,30,1,75,0.68,1
4682,5,4,3,4,3,5,5,3,5,4,4,2,4,4,5,5,5,2,5,5,5,4,19,2,90,0.74,0
4683,5,1,3,1,3,5,1,5,1,5,5,5,5,5,1,1,1,1,5,5,5,5,17,1,50,0.5,0
4684,4,2,2,4,2,2,4,2,5,2,3,1,4,4,4,2,4,3,3,3,4,2,24,1,60,0.54,1
4685,5,4,4,3,4,4,5,2,4,2,4,3,4,5,5,3,5,2,2,4,2,1,18,1,75,0.7,1
4686,5,5,5,4,5,5,5,5,5,5,3,3,4,4,5,5,5,5,2,4,5,4,20,1,60,0.88,1
4687,5,2,5,2,4,5,4,4,5,1,4,3,4,5,5,4,4,2,3,4,1,4,16,1,80,0.72,1
4688,4,2,3,2,4,4,4,4,5,3,4,3,3,4,5,5,3,3,4,4,4,2,23,2,85,0.64,1
4689,3,2,3,3,4,4,4,3,4,3,2,4,2,4,2,3,3,3,4,4,2,3,23,1,50,0.6,1
4690,4,4,2,3,2,3,2,3,2,1,4,4,2,1,4,2,2,1,3,4,3,2,20,1,76,0.5,0
4691,4,2,4,4,4,4,2,5,2,4,5,5,4,5,1,1,4,2,4,4,4,5,15,1,50,0.62,1
4692,3,4,4,2,3,4,5,2,2,1,3,1,2,3,4,4,2,2,2,4,4,2,19,1,85,0.58,1
4693,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,32,1,100,0.82,1
4694,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,99,0.18,1
4695,2,3,2,2,2,2,3,4,3,2,2,2,3,4,4,4,2,2,2,3,4,2,63,1,90,0.46,0
4696,4,2,4,2,2,4,4,1,4,3,3,2,4,4,4,5,2,2,4,4,4,4,16,2,75,0.54,0
4697,4,1,5,2,2,3,2,2,4,1,2,3,2,2,4,5,2,2,2,4,3,1,17,1,85,0.5,1
4698,4,1,2,2,2,4,4,2,5,2,4,2,5,4,4,4,1,4,5,5,5,4,21,2,87,0.52,0
4699,4,2,4,4,4,5,3,4,4,3,3,4,2,5,4,3,2,5,5,4,2,4,23,1,75,0.68,1
4700,4,1,3,3,4,4,3,5,5,2,5,5,5,4,5,5,5,2,5,5,4,4,23,1,99,0.64,0
4701,4,4,4,1,4,4,4,4,4,2,3,4,3,4,4,3,2,2,2,3,2,2,22,1,75,0.66,1
4702,4,2,2,2,4,2,4,2,4,2,2,2,4,4,4,2,4,2,4,4,4,2,23,1,80,0.52,1
4703,4,4,3,4,4,4,4,3,4,3,2,2,5,4,4,4,4,4,2,3,2,2,17,2,89,0.68,0
4704,3,1,4,4,4,5,4,4,3,4,4,5,4,5,4,2,3,4,4,5,4,4,21,1,95,0.64,1
4705,4,3,3,2,2,3,5,2,5,1,1,1,3,4,5,2,3,1,1,1,2,2,17,1,95,0.58,1
4706,1,2,4,2,4,5,2,4,4,5,2,2,2,5,1,1,2,4,4,5,4,2,23,1,75,0.56,1
4707,1,3,5,4,4,4,4,3,4,2,1,2,2,3,4,4,3,2,4,4,1,1,47,1,75,0.64,0
4708,4,5,5,5,4,5,4,4,5,2,4,4,4,4,5,5,5,4,4,4,4,3,21,1,80,0.82,1
4709,2,2,2,2,3,3,3,2,4,2,4,2,1,3,4,3,2,2,4,4,4,2,20,1,75,0.46,1
4710,3,2,4,2,3,3,2,2,4,3,2,1,2,4,4,2,3,3,2,3,4,2,20,1,70,0.5,1
4711,4,4,3,2,3,3,4,2,4,3,4,3,2,2,3,4,4,4,4,4,4,3,24,1,75,0.58,1
4712,1,4,2,1,2,5,4,1,4,4,4,1,4,5,3,2,1,1,3,4,1,1,17,1,90,0.48,0
4713,2,3,3,3,2,3,4,2,4,4,4,4,4,5,4,4,2,3,3,5,4,3,19,1,80,0.52,1
4714,3,4,5,2,4,4,5,1,4,2,3,2,4,5,3,2,1,4,1,4,1,3,18,1,75,0.64,1
4715,3,1,3,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,19,1,85,0.3,1
4716,4,5,4,2,3,4,4,3,4,2,2,2,2,5,4,4,3,2,3,4,2,2,22,1,80,0.66,1
4717,5,2,2,4,2,4,5,2,2,1,2,3,3,4,5,4,4,2,4,5,4,3,22,1,90,0.56,0
4718,2,1,1,2,2,4,2,1,5,1,3,2,2,2,3,2,1,2,4,4,4,3,18,1,85,0.4,1
4720,3,4,1,3,5,5,4,5,5,4,4,5,3,5,2,1,5,1,1,3,3,1,23,1,75,0.7,1
4722,5,4,5,3,5,5,5,4,3,3,5,4,5,5,5,3,4,2,4,5,4,3,25,1,50,0.78,1
4723,2,2,4,4,1,4,3,5,5,2,4,2,4,2,5,2,1,2,2,3,2,2,19,2,99,0.6,1
4724,2,2,4,4,5,5,4,2,1,2,1,1,4,4,1,4,1,1,1,4,1,1,19,1,93,0.58,1
4726,2,1,2,2,2,2,3,2,3,1,1,2,2,3,3,3,3,2,2,4,3,3,18,1,100,0.38,0
4727,3,1,4,3,3,4,3,3,4,4,4,4,3,4,3,4,4,3,5,5,4,4,24,1,90,0.56,1
4729,5,5,3,5,5,5,5,2,1,5,1,1,5,5,5,5,4,1,4,2,1,5,21,1,83,0.72,1
4730,5,1,1,4,5,5,1,2,4,5,3,3,1,4,4,3,4,4,3,4,4,3,16,1,85,0.56,1
4731,1,1,4,2,2,4,2,1,4,1,2,1,4,5,2,1,1,1,4,4,1,1,19,1,80,0.42,0
4733,2,2,2,4,2,4,2,2,4,2,4,4,4,4,4,3,3,3,4,4,4,4,22,1,75,0.48,1
4734,5,1,5,1,3,5,3,1,5,3,5,2,5,5,4,1,2,1,4,3,5,2,20,2,95,0.58,0
4735,4,5,5,3,4,4,5,4,4,4,3,3,4,4,4,5,3,3,4,5,4,4,17,2,95,0.76,0
4736,4,2,2,2,3,4,4,3,4,2,4,1,4,4,3,4,1,1,2,4,2,2,28,1,100,0.56,0
4737,2,1,2,4,2,4,1,2,4,2,2,2,4,4,2,1,3,3,1,1,1,2,17,1,68,0.44,0
4738,4,2,2,3,5,4,2,2,4,4,4,5,2,5,5,2,5,4,4,5,4,4,24,1,89,0.56,1
4739,4,3,4,4,4,4,3,4,4,5,2,3,4,4,3,2,2,3,3,4,4,2,28,1,90,0.68,1
4740,5,5,5,4,5,5,5,5,5,5,4,1,5,5,5,1,5,3,4,2,5,4,21,1,85,0.88,1
4741,4,4,4,2,4,4,4,4,4,2,2,2,2,4,4,4,2,1,3,4,3,2,22,2,75,0.68,0
4742,4,2,4,3,3,4,3,4,4,2,4,3,4,4,5,2,2,2,2,5,2,3,20,1,75,0.62,1
4743,4,4,3,2,4,4,2,4,4,4,1,1,4,4,4,3,3,2,1,4,2,2,20,1,90,0.62,0
4744,2,2,1,2,2,3,2,1,3,3,4,1,1,2,5,4,2,2,1,4,2,2,21,1,85,0.36,1
4745,4,4,4,2,3,4,3,4,3,2,2,1,4,3,5,3,3,3,2,2,2,2,22,1,60,0.62,1
4746,5,1,4,3,4,5,4,5,4,3,5,5,5,5,4,2,5,4,5,5,4,5,20,1,90,0.7,0
4747,5,4,5,5,4,5,4,5,5,4,3,2,5,5,4,2,4,3,2,4,4,2,23,1,85,0.84,0
4748,4,3,4,3,4,4,4,4,4,2,2,2,4,4,4,4,3,3,4,4,2,2,20,1,70,0.68,1
4749,5,5,4,3,4,4,4,5,4,2,4,4,4,4,4,5,3,3,4,5,3,2,19,1,57,0.76,0
4750,5,5,5,4,3,5,5,3,5,3,2,4,4,4,4,3,4,3,4,5,4,4,19,2,32,0.8,1
4751,3,4,4,2,4,4,4,2,2,4,3,2,3,5,2,1,1,1,2,4,4,2,46,2,85,0.58,0
4752,2,2,2,5,5,5,3,5,5,4,5,5,2,5,5,4,4,5,5,5,5,5,19,1,90,0.68,1
4753,4,1,4,2,5,4,2,4,1,3,5,2,4,4,1,1,1,1,2,4,1,2,21,1,80,0.54,1
4754,5,3,4,2,2,4,4,4,2,2,2,3,2,5,5,2,3,3,3,4,3,2,22,2,85,0.6,0
4755,5,5,5,3,4,4,2,5,4,4,4,4,5,5,5,5,5,3,5,5,5,5,27,1,90,0.74,1
4756,4,2,3,3,4,3,2,4,3,3,4,4,4,5,3,3,2,2,3,4,3,3,19,1,90,0.56,1
4757,4,5,5,2,2,3,4,2,4,2,3,1,4,4,4,4,2,2,2,3,3,3,21,1,70,0.62,1
4758,4,1,3,1,1,3,4,2,1,1,4,2,5,5,5,3,5,1,4,4,4,4,22,1,90,0.4,0
